"ip","tanggal","hits","online"
"127.0.0.1",2017-07-08,7,"1499472511"
"127.0.0.1",2017-07-09,1,"1499572167"
"127.0.0.1",2017-07-10,3,"1499672286"
"127.0.0.1",2017-07-13,48,"1499982324"
"127.0.0.1",2017-07-11,7,"1499786536"
"127.0.0.1",2017-07-12,2,"1499872009"
"127.0.0.1",2017-07-06,21,"1499342879"
"127.0.0.1",2017-07-14,11,"1500023068"
"127.0.0.1",2017-07-15,2,"1500105118"
"127.0.0.1",2017-08-04,22,"1501819497"
"127.0.0.1",2017-07-27,26,"1501169979"
"127.0.0.1",2017-07-18,8,"1500416643"
"127.0.0.1",2017-07-19,1,"1500472958"
"127.0.0.1",2017-07-28,1,"1501200145"
"127.0.0.1",2017-07-30,2,"1501399034"
"127.0.0.1",2017-08-06,3,"1502033139"
"127.0.0.1",2017-07-20,7,"1500546250"
"127.0.0.1",2017-07-07,29,"1499471643"
"127.0.0.1",2017-08-07,5,"1502110136"
"127.0.0.1",2017-08-09,2,"1502263238"
"127.0.0.1",2017-07-21,11,"1500653935"
"127.0.0.1",2017-07-22,2,"1500731789"
"127.0.0.1",2017-07-31,13,"1501513031"
"127.0.0.1",2017-08-01,1,"1501592004"
"127.0.0.1",2017-07-23,4,"1500837901"
"127.0.0.1",2017-08-02,2,"1501686331"
"127.0.0.1",2017-07-24,59,"1500898538"
"127.0.0.1",2017-07-25,2,"1500982904"
"127.0.0.1",2017-08-10,17,"1502368763"
"127.0.0.1",2017-08-17,1,"1502934252"
"127.0.0.1",2017-08-03,20,"1501803744"
"127.0.0.1",2017-08-25,18,"1503642903"
"127.0.0.1",2017-08-28,51,"1503942918"
"127.0.0.1",2017-09-02,27,"1504355463"
"127.0.0.1",2017-09-03,5,"1504444142"
"127.0.0.1",2017-08-27,57,"1503843083"
"127.0.0.1",2017-08-26,19,"1503752519"
"127.0.0.1",2017-09-04,1,"1504541079"
"127.0.0.1",2017-08-21,86,"1503359980"
"127.0.0.1",2017-09-05,2,"1504604150"
"127.0.0.1",2017-09-06,15,"1504684919"
"127.0.0.1",2017-08-29,33,"1504017311"
"127.0.0.1",2017-09-10,36,"1505051843"
"127.0.0.1",2017-08-22,29,"1503390050"
"127.0.0.1",2017-08-23,1,"1503531343"
"127.0.0.1",2017-09-11,5,"1505174396"
"127.0.0.1",2017-09-07,81,"1504778437"
"127.0.0.1",2017-09-12,9,"1505200039"
"127.0.0.1",2017-09-13,1,"1505263727"
"127.0.0.1",2017-08-24,20,"1503557243"
"127.0.0.1",2017-09-14,5,"1505398679"
"127.0.0.1",2017-09-08,33,"1504840432"
"127.0.0.1",2017-09-15,2,"1505489892"
"127.0.0.1",2017-10-16,11,"1508198370"
"127.0.0.1",2017-10-03,98,"1507035987"
"127.0.0.1",2017-10-04,1,"1507112397"
"127.0.0.1",2017-09-16,11,"1505537983"
"127.0.0.1",2017-09-30,17,"1506812402"
"127.0.0.1",2017-10-05,4,"1507178600"
"127.0.0.1",2017-10-07,1,"1507419251"
"127.0.0.1",2017-10-08,1,"1507423498"
"127.0.0.1",2017-10-09,2,"1507537945"
"127.0.0.1",2017-10-01,16,"1506855526"
"127.0.0.1",2017-09-25,19,"1506383968"
"127.0.0.1",2017-10-02,2,"1506912050"
"127.0.0.1",2017-09-26,8,"1506385768"
"127.0.0.1",2017-09-27,4,"1506511601"
"127.0.0.1",2017-10-10,17,"1507675298"
"127.0.0.1",2017-10-11,1,"1507734998"
"127.0.0.1",2017-09-28,6,"1506643144"
"127.0.0.1",2017-10-17,23,"1508214488"
"127.0.0.1",2017-10-12,7,"1507851471"
"127.0.0.1",2017-10-13,3,"1507873609"
"127.0.0.1",2017-09-29,13,"1506726719"
"127.0.0.1",2017-10-18,6,"1508334745"
"127.0.0.1",2017-10-15,57,"1508060651"
"127.0.0.1",2017-10-19,16,"1508388248"
"127.0.0.1",2018-07-28,20,"1532795078"
"127.0.0.1",2017-07-08,7,"1499472511"
"127.0.0.1",2017-07-09,1,"1499572167"
"127.0.0.1",2017-07-10,3,"1499672286"
"127.0.0.1",2017-07-13,48,"1499982324"
"127.0.0.1",2017-07-11,7,"1499786536"
"127.0.0.1",2017-07-12,2,"1499872009"
"127.0.0.1",2017-07-06,21,"1499342879"
"127.0.0.1",2017-07-14,11,"1500023068"
"127.0.0.1",2017-07-15,2,"1500105118"
"127.0.0.1",2017-08-04,22,"1501819497"
"127.0.0.1",2017-07-27,26,"1501169979"
"127.0.0.1",2017-07-18,8,"1500416643"
"127.0.0.1",2017-07-19,1,"1500472958"
"127.0.0.1",2017-07-28,1,"1501200145"
"127.0.0.1",2017-07-30,2,"1501399034"
"127.0.0.1",2017-08-06,3,"1502033139"
"127.0.0.1",2017-07-20,7,"1500546250"
"127.0.0.1",2017-07-07,29,"1499471643"
"127.0.0.1",2017-08-07,5,"1502110136"
"127.0.0.1",2017-08-09,2,"1502263238"
"127.0.0.1",2017-07-21,11,"1500653935"
"127.0.0.1",2017-07-22,2,"1500731789"
"127.0.0.1",2017-07-31,13,"1501513031"
"127.0.0.1",2017-08-01,1,"1501592004"
"127.0.0.1",2017-07-23,4,"1500837901"
"127.0.0.1",2017-08-02,2,"1501686331"
"127.0.0.1",2017-07-24,59,"1500898538"
"127.0.0.1",2017-07-25,2,"1500982904"
"127.0.0.1",2017-08-10,17,"1502368763"
"127.0.0.1",2017-08-17,1,"1502934252"
"127.0.0.1",2017-08-03,20,"1501803744"
"127.0.0.1",2017-08-25,18,"1503642903"
"127.0.0.1",2017-08-28,51,"1503942918"
"127.0.0.1",2017-09-02,27,"1504355463"
"127.0.0.1",2017-09-03,5,"1504444142"
"127.0.0.1",2017-08-27,57,"1503843083"
"127.0.0.1",2017-08-26,19,"1503752519"
"127.0.0.1",2017-09-04,1,"1504541079"
"127.0.0.1",2017-08-21,86,"1503359980"
"127.0.0.1",2017-09-05,2,"1504604150"
"127.0.0.1",2017-09-06,15,"1504684919"
"127.0.0.1",2017-08-29,33,"1504017311"
"127.0.0.1",2017-09-10,36,"1505051843"
"127.0.0.1",2017-08-22,29,"1503390050"
"127.0.0.1",2017-08-23,1,"1503531343"
"127.0.0.1",2017-09-11,5,"1505174396"
"127.0.0.1",2017-09-07,81,"1504778437"
"127.0.0.1",2017-09-12,9,"1505200039"
"127.0.0.1",2017-09-13,1,"1505263727"
"127.0.0.1",2017-08-24,20,"1503557243"
"127.0.0.1",2017-09-14,5,"1505398679"
"127.0.0.1",2017-09-08,33,"1504840432"
"127.0.0.1",2017-09-15,2,"1505489892"
"127.0.0.1",2017-10-16,11,"1508198370"
"127.0.0.1",2017-10-03,98,"1507035987"
"127.0.0.1",2017-10-04,1,"1507112397"
"127.0.0.1",2017-09-16,11,"1505537983"
"127.0.0.1",2017-09-30,17,"1506812402"
"127.0.0.1",2017-10-05,4,"1507178600"
"127.0.0.1",2017-10-07,1,"1507419251"
"127.0.0.1",2017-10-08,1,"1507423498"
"127.0.0.1",2017-10-09,2,"1507537945"
"127.0.0.1",2017-10-01,16,"1506855526"
"127.0.0.1",2017-09-25,19,"1506383968"
"127.0.0.1",2017-10-02,2,"1506912050"
"127.0.0.1",2017-09-26,8,"1506385768"
"127.0.0.1",2017-09-27,4,"1506511601"
"127.0.0.1",2017-10-10,17,"1507675298"
"127.0.0.1",2017-10-11,1,"1507734998"
"127.0.0.1",2017-09-28,6,"1506643144"
"127.0.0.1",2017-10-17,23,"1508214488"
"127.0.0.1",2017-10-12,7,"1507851471"
"127.0.0.1",2017-10-13,3,"1507873609"
"127.0.0.1",2017-09-29,13,"1506726719"
"127.0.0.1",2017-10-18,6,"1508334745"
"127.0.0.1",2017-10-15,57,"1508060651"
"127.0.0.1",2017-10-19,16,"1508388248"
"127.0.0.1",2018-08-05,1,"1533464205"
"127.0.0.1",2018-08-08,93,"1533739030"
"127.0.0.1",2018-08-09,1,"1533787887"
"127.0.0.1",2018-08-13,2,"1534133671"
"127.0.0.1",2018-08-18,3,"1534578669"
"127.0.0.1",2018-07-28,15,"1532795078"
"127.0.0.1",2018-08-18,3,"1534578669"
"127.0.0.1",2018-08-14,27,"1534265261"
"127.0.0.1",2018-07-29,4,"1532856296"
"127.0.0.1",2018-08-21,8,"1534836141"
"127.0.0.1",2018-08-15,53,"1534349201"
"127.0.0.1",2018-08-23,1,"1535034752"
"127.0.0.1",2018-07-31,7,"1533061534"
"127.0.0.1",2017-07-08,7,"1499472511"
"127.0.0.1",2017-07-09,1,"1499572167"
"127.0.0.1",2017-07-10,3,"1499672286"
"127.0.0.1",2017-07-13,48,"1499982324"
"127.0.0.1",2017-07-11,7,"1499786536"
"127.0.0.1",2017-07-12,2,"1499872009"
"127.0.0.1",2017-07-06,21,"1499342879"
"127.0.0.1",2017-07-14,11,"1500023068"
"127.0.0.1",2017-07-15,2,"1500105118"
"127.0.0.1",2017-08-04,22,"1501819497"
"127.0.0.1",2017-07-27,26,"1501169979"
"127.0.0.1",2017-07-18,8,"1500416643"
"127.0.0.1",2017-07-19,1,"1500472958"
"127.0.0.1",2017-07-28,1,"1501200145"
"127.0.0.1",2017-07-30,2,"1501399034"
"127.0.0.1",2017-08-06,3,"1502033139"
"127.0.0.1",2017-07-20,7,"1500546250"
"127.0.0.1",2017-07-07,29,"1499471643"
"127.0.0.1",2017-08-07,5,"1502110136"
"127.0.0.1",2017-08-09,2,"1502263238"
"127.0.0.1",2017-07-21,11,"1500653935"
"127.0.0.1",2017-07-22,2,"1500731789"
"127.0.0.1",2017-07-31,13,"1501513031"
"127.0.0.1",2017-08-01,1,"1501592004"
"127.0.0.1",2017-07-23,4,"1500837901"
"127.0.0.1",2017-08-02,2,"1501686331"
"127.0.0.1",2017-07-24,59,"1500898538"
"127.0.0.1",2017-07-25,2,"1500982904"
"127.0.0.1",2017-08-10,17,"1502368763"
"127.0.0.1",2017-08-17,1,"1502934252"
"127.0.0.1",2017-08-03,20,"1501803744"
"127.0.0.1",2017-08-25,18,"1503642903"
"127.0.0.1",2017-08-28,51,"1503942918"
"127.0.0.1",2017-09-02,27,"1504355463"
"127.0.0.1",2017-09-03,5,"1504444142"
"127.0.0.1",2017-08-27,57,"1503843083"
"127.0.0.1",2017-08-26,19,"1503752519"
"127.0.0.1",2017-09-04,1,"1504541079"
"127.0.0.1",2017-08-21,86,"1503359980"
"127.0.0.1",2017-09-05,2,"1504604150"
"127.0.0.1",2017-09-06,15,"1504684919"
"127.0.0.1",2017-08-29,33,"1504017311"
"127.0.0.1",2017-09-10,36,"1505051843"
"127.0.0.1",2017-08-22,29,"1503390050"
"127.0.0.1",2017-08-23,1,"1503531343"
"127.0.0.1",2017-09-11,5,"1505174396"
"127.0.0.1",2017-09-07,81,"1504778437"
"127.0.0.1",2017-09-12,9,"1505200039"
"127.0.0.1",2017-09-13,1,"1505263727"
"127.0.0.1",2017-08-24,20,"1503557243"
"127.0.0.1",2017-09-14,5,"1505398679"
"127.0.0.1",2017-09-08,33,"1504840432"
"127.0.0.1",2017-09-15,2,"1505489892"
"127.0.0.1",2017-10-16,11,"1508198370"
"127.0.0.1",2017-10-03,98,"1507035987"
"127.0.0.1",2017-10-04,1,"1507112397"
"127.0.0.1",2017-09-16,11,"1505537983"
"127.0.0.1",2017-09-30,17,"1506812402"
"127.0.0.1",2017-10-05,4,"1507178600"
"127.0.0.1",2017-10-07,1,"1507419251"
"127.0.0.1",2017-10-08,1,"1507423498"
"127.0.0.1",2017-10-09,2,"1507537945"
"127.0.0.1",2017-10-01,16,"1506855526"
"127.0.0.1",2017-09-25,19,"1506383968"
"127.0.0.1",2017-10-02,2,"1506912050"
"127.0.0.1",2017-09-26,8,"1506385768"
"127.0.0.1",2017-09-27,4,"1506511601"
"127.0.0.1",2017-10-10,17,"1507675298"
"127.0.0.1",2017-10-11,1,"1507734998"
"127.0.0.1",2017-09-28,6,"1506643144"
"127.0.0.1",2017-10-17,23,"1508214488"
"127.0.0.1",2017-10-12,7,"1507851471"
"127.0.0.1",2017-10-13,3,"1507873609"
"127.0.0.1",2017-09-29,13,"1506726719"
"127.0.0.1",2017-10-18,6,"1508334745"
"127.0.0.1",2017-10-15,57,"1508060651"
"127.0.0.1",2017-10-19,16,"1508388248"
"127.0.0.1",2018-07-28,2,"1532756164"
"127.0.0.1",2018-08-16,1,"1534401021"
"127.0.0.1",2018-08-20,48,"1534781719"
"127.0.0.1",2018-08-26,4,"1535282609"
"127.0.0.1",2018-08-23,1,"1535034752"
"127.0.0.1",2018-08-24,9,"1535104806"
"127.0.0.1",2018-08-27,6,"1535381412"
"127.0.0.1",2018-08-29,2,"1535532522"
"127.0.0.1",2018-08-31,1,"1535694521"
"127.0.0.1",2018-09-08,61,"1536396502"
"127.0.0.1",2018-09-08,61,"1536396502"
"127.0.0.1",2018-09-09,20,"1536473194"
"127.0.0.1",2018-09-13,7,"1536849701"
"127.0.0.1",2018-09-14,41,"1536946329"
"127.0.0.1",2018-09-17,24,"1537198790"
"127.0.0.1",2018-09-18,23,"1537276014"
"127.0.0.1",2018-09-18,23,"1537276014"
"180.241.182.11",2018-09-20,12,"1537436810"
"115.178.223.43",2018-09-20,1,"1537446218"
"103.212.43.134",2018-09-21,5,"1537524536"
"114.4.82.108",2018-09-22,2,"1537592667"
"115.178.207.216",2018-09-22,6,"1537600066"
"203.78.120.212",2018-09-23,1,"1537703664"
"115.178.222.202",2018-09-23,23,"1537702262"
"120.188.95.100",2018-09-23,1,"1537719827"
"103.212.43.134",2018-10-08,10,"1538997507"
"115.178.203.82",2018-09-24,7,"1537767966"
"203.78.120.212",2018-09-24,3,"1537776683"
"115.178.203.203",2018-09-24,1,"1537777261"
"182.1.27.136",2018-10-09,1,"1539095172"
"114.125.26.18",2018-10-09,1,"1539100178"
"114.125.41.208",2018-10-10,6,"1539182963"
"103.212.43.133",2018-11-01,1,"1541045978"
"103.212.43.130",2018-11-07,1,"1541584771"
"182.1.48.68",2018-11-20,1,"1542714615"
"103.212.43.162",2018-11-21,3,"1542787978"
"103.212.43.182",2018-11-24,1,"1543044772"
"125.162.69.197",2018-11-25,1,"1543149499"
"103.212.43.177",2018-11-26,3,"1543234862"
"182.1.46.75",2018-11-27,1,"1543332177"
"114.125.6.171",2018-11-28,5,"1543443034"
"115.178.222.128",2018-09-26,28,"1537977112"
"180.254.124.232",2018-11-29,2,"1543457275"
"103.212.43.174",2018-11-29,1,"1543486527"
"64.233.172.19",2018-11-30,1,"1543555231"
"64.233.172.17",2018-11-30,1,"1543564670"
"36.76.28.214",2018-11-30,1,"1543585041"
"103.212.43.169",2018-12-01,1,"1543633663"
"114.125.10.218",2018-12-01,1,"1543637587"
"103.212.43.207",2018-12-01,1,"1543641889"
"103.212.43.184",2018-12-17,2,"1545016747"
"103.212.43.169",2018-12-26,2,"1545796126"
"180.241.243.243",2019-01-02,1,"1546439830"
"103.212.43.140",2018-09-27,19,"1538043058"
"115.178.206.60",2018-09-27,7,"1538064612"
"115.178.218.189",2018-09-28,4,"1538116426"
"180.241.182.112",2018-09-28,6,"1538130671"
"115.178.207.209",2018-09-28,4,"1538160378"
"36.84.229.80",2018-09-30,2,"1538320518"
"103.212.43.136",2018-10-02,2,"1538453531"
"110.137.103.143",2018-10-02,9,"1538488508"
"115.178.222.49",2018-10-02,1,"1538519834"
"103.212.43.134",2018-10-03,2,"1538549713"
"36.68.16.31",2018-10-03,5,"1538590124"
"103.212.43.136",2018-10-05,5,"1538727436"
